成交时间,证券代码,买卖标志,成交价格,成交数量,成交金额,成交编号,账户ID,日期
93332,603083,买入,37,200,7400,802685.00 ,680135528,20170430
93332,300147,买入,9.57,200,1914,103000001207037.00 ,680135528,20170430
93332,603387,买入,79.41,100,7941,803032.00 ,680135528,20170430
93332,600426,买入,18.97,100,1897,803202.00 ,680135528,20170430
93332,600426,买入,18.97,100,1897,803378.00 ,680135528,20170430
93332,600584,买入,18.7,100,1870,803485.00 ,680135528,20170430
93332,600161,买入,28.22,100,2822,803220.00 ,680135528,20170430
93332,600161,买入,28.22,100,2822,803434.00 ,680135528,20170430
93333,300212,买入,30.06,200,6012,103000001209478.00 ,680135528,20170430
93333,2024,买入,14.84,300,4452,101000001187283.00 ,680135528,20170430
93333,2157,买入,4.71,100,471,104000001250719.00 ,680135528,20170430
93335,830,买入,19.09,200,3818,101000001192683.00 ,680135528,20170430
93335,2183,买入,7.26,300,2178,101000001193465.00 ,680135528,20170430
93335,603709,买入,30.88,100,3088,812213.00 ,680135528,20170430
93335,300202,买入,19.06,100,1906,101000001195273.00 ,680135528,20170430
93337,49,买入,31.1,100,3110,101000001201308.00 ,680135528,20170430
93340,300275,买入,11.2,200,2240,103000001233853.00 ,680135528,20170430
93341,603680,买入,36.63,100,3663,828040.00 ,680135528,20170430
93345,600623,买入,11.54,1200,13848,836411.00 ,680135528,20170430
93406,300249,买入,7.02,200,1404,101000001291823.00 ,680135528,20170430
93416,2695,买入,15.8,100,1580,101000001325260.00 ,680135528,20170430
93420,300736,买入,28.88,100,2888,102000001346887.00 ,680135528,20170430
93444,2366,买入,16.5,200,3300,104000001473215.00 ,680135528,20170430
93446,829,买入,8.53,300,2559,104000001480641.00 ,680135528,20170430
93951,999,买入,27.49,200,5498,101000002180823.00 ,680135528,20170430
93953,999,买入,27.49,100,2749,101000002185219.00 ,680135528,20170430
94037,2900,买入,31.16,200,6232,103000002329226.00 ,680135528,20170430
94159,2900,买入,30.95,100,3095,103000002506968.00 ,680135528,20170430
94159,2701,买入,6,200,1200,102000002507919.00 ,680135528,20170430
