[1]SecuCode|[2]TradingDay|[3]PrevClosePrice|[4]OpenPrice|[5]HighPrice|[6]LowPrice|[7]ClosePrice|[8]TurnoverVolume|[9]TurnoverValue|[10]SecuMarket|[11]SecuCategory|[12]ListedDate|[13]TradeState|[14]SpecialTradeType|[15]Split|[16]Dividend|[17]ActualPlaRatio|[18]PlaPrice|[19]BaseShares|[20]ActualPlaVol|[21]TotalShares|[22]TotalFloatShares|[23]SecuName|[24]ChiName
000670.SZE|20180102|6.9|6.9|6.94|6.71|6.92|36121911|247629470.5|SZE|A|19961217|trade|0|1.0|0.0|0.0|0.0|0|0|816627360|600167286|盈方微|盈方微电子股份有限公司
000671.SZE|20180102|7.87|8.09|8.66|8.09|8.29|64287435|536633169.2|SZE|A|19961218|trade|0|1.0|0.0|0.0|0.0|0|0|4050073315|3245566265|阳光城|阳光城集团股份有限公司
000672.SZE|20180102|9.72|9.73|10.69|9.73|10.69|48349084|494678347.2|SZE|A|19961218|trade|0|1.0|0.0|0.0|0.0|0|0|813619871|813619871|上峰水泥|甘肃上峰水泥股份有限公司
000673.SZE|20180102|13.16|13.15|13.45|12.91|13.07|13651322|179019392.6|SZE|A|19970124|trade|0|1.0|0.0|0.0|0.0|0|0|793334978|417193755|当代东方|当代东方投资股份有限公司
000676.SZE|20180102|11.12|11.17|11.29|11.12|11.2|1836900|20542230.0|SZE|A|19961224|trade|0|1.0|0.0|0.0|0.0|0|0|965710782|316489122|智度股份|智度科技股份有限公司
000677.SZE|20180102|3.98|4.0|4.2|3.98|4.14|5473307|22455924.5|SZE|A|19961226|trade|0|1.0|0.0|0.0|0.0|0|0|863977948|863975623|恒天海龙|恒天海龙股份有限公司
000678.SZE|20180102|8.06|0.0|0.0|0.0|8.06|0|0.0|SZE|A|19970106|suspend|0|1.0|0.0|0.0|0.0|0|0|459611797|429079797|襄阳轴承|襄阳汽车轴承股份有限公司
000679.SZE|20180102|7.06|7.07|7.15|7.07|7.14|1435578|10214578.8|SZE|A|19970124|trade|0|1.0|0.0|0.0|0.0|0|0|356400000|356339650|大连友谊|大连友谊（集团）股份有限公司
000680.SZE|20180102|5.09|5.1|5.27|5.08|5.14|23729371|122948819.5|SZE|A|19970122|trade|0|1.0|0.0|0.0|0.0|0|0|1240787611|1056915358|山推股份|山推工程机械股份有限公司
000681.SZE|20180102|19.5|19.5|19.67|19.26|19.54|1856981|36204595.5|SZE|A|19970121|trade|0|1.0|0.0|0.0|0.0|0|0|700577436|279872323|视觉中国|视觉(中国)文化发展股份有限公司
000682.SZE|20180102|4.65|4.65|4.7|4.62|4.7|2783441|12996283.0|SZE|A|19970121|trade|0|1.0|0.0|0.0|0.0|0|0|978163195|978017120|东方电子|东方电子股份有限公司
000683.SZE|20180102|2.91|2.96|3.03|2.96|3.01|58595409|175544179.7|SZE|A|19970131|trade|0|1.0|0.0|0.0|0.0|0|0|3967172992|2832807843|远兴能源|内蒙古远兴能源股份有限公司
000685.SZE|20180102|10.25|10.25|10.39|10.22|10.35|5956370|61424855.3|SZE|A|19970123|trade|0|1.0|0.0|0.0|0.0|0|0|1475111351|1253229908|中山公用|中山公用事业集团股份有限公司
000686.SZE|20180102|8.77|8.79|8.89|8.78|8.86|12539837|110930013.4|SZE|A|19970227|trade|0|1.0|0.0|0.0|0.0|0|0|2340452915|2340452915|东北证券|东北证券股份有限公司
000687.SZE|20180102|10.51|10.44|10.65|10.44|10.57|2696330|28457321.3|SZE|A|19970221|trade|0|1.0|0.0|0.0|0.0|0|0|766199362|531158038|华讯方舟|华讯方舟股份有限公司
000688.SZE|20180102|10.95|0.0|0.0|0.0|10.95|0|0.0|SZE|A|19970120|suspend|0|1.0|0.0|0.0|0.0|0|0|1137299314|1137294994|建新矿业|建新矿业股份有限责任公司
000690.SZE|20180102|8.0|8.03|8.29|8.0|8.29|20251298|165586330.7|SZE|A|19970128|trade|0|1.0|0.0|0.0|0.0|0|0|2175887862|2039195295|宝新能源|广东宝丽华新能源股份有限公司
000691.SZE|20180102|7.83|7.75|7.94|7.67|7.89|2486350|19417314.0|SZE|A|19970228|trade|0|1.0|0.0|0.0|0.0|0|0|323270000|290486300|亚太实业|海南亚太实业发展股份有限公司
000692.SZE|20180102|5.29|5.29|5.36|5.21|5.28|1392249|7345865.2|SZE|A|19970227|trade|0|1.0|0.0|0.0|0.0|0|0|532832976|532785880|惠天热电|沈阳惠天热电股份有限公司
000693.SZE|20180102|12.5|0.0|0.0|0.0|12.5|0|0.0|SZE|A|19970226|suspend|2|1.0|0.0|0.0|0.0|0|0|543491923|277355151|*ST华泽|成都华泽钴镍材料股份有限公司
000695.SZE|20180102|11.73|0.0|0.0|0.0|11.73|0|0.0|SZE|A|19970218|suspend|0|1.0|0.0|0.0|0.0|0|0|222147539|221721339|滨海能源|天津滨海能源发展股份有限公司
000697.SZE|20180102|23.04|23.07|23.29|22.98|23.25|3272481|75586960.7|SZE|A|19970325|trade|0|1.0|0.0|0.0|0.0|0|0|559680049|453773223|炼石有色|陕西炼石有色资源股份有限公司
000698.SZE|20180102|5.91|5.89|6.19|5.89|6.03|8465531|51081461.8|SZE|A|19970220|trade|0|1.0|0.0|0.0|0.0|0|0|819514395|432352808|沈阳化工|沈阳化工股份有限公司
